Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary,STATE
6/27/2016,12/2/2023,Nonexempt,19.7,710
8/8/2016,7/5/2023,Nonexempt,"20,483.89",710
6/13/2015,12/5/2022,Nonexempt,"43,578.14",710
10/21/2023,10/21/2023,Nonexempt,19.7,710
1/10/2011,8/8/2014,Nonexempt,"40,687.92",710
11/19/2022,11/19/2022,Nonexempt,"41,503.50",710
8/29/2022,8/29/2022,Nonexempt,"20,887.34",710
1/14/2006,10/22/2022,Nonexempt,"43,008.13",710
1/22/2004,1/2/2013,Nonexempt,"40,960.13",710
2/23/1999,3/12/2022,Exempt,"77,964.80",710
6/30/2009,1/30/2021,Nonexempt,"40,960.13",710
8/24/2024,8/24/2024,Nonexempt,19.69,710
4/29/2017,8/29/2022,Nonexempt,"20,887.34",710
10/3/2016,8/28/2021,Nonexempt,"40,960.12",710
8/1/1984,12/8/1998,Nonexempt,"61,666.49",710
8/16/2004,7/17/2023,Exempt,"63,209.98",710
9/30/2002,4/20/2024,Nonexempt,"62,874.18",710
4/22/2023,4/22/2023,Exempt,"60,061.41",710
7/1/2024,7/1/2024,Nonexempt,19.03,710
11/4/2023,7/27/2024,Nonexempt,"40,967.78",710
1/16/2024,1/16/2024,Nonexempt,"43,575.57",710
10/21/2023,10/21/2023,Nonexempt,19.7,710
1/27/2024,9/7/2024,Nonexempt,"43,008.00",710
10/7/2023,9/23/2024,Nonexempt,"21,496.80",710
7/2/2022,2/24/2024,Nonexempt,"20,483.89",710
10/5/2024,10/5/2024,Nonexempt,19.69,710
3/18/2013,1/31/2022,Nonexempt,"40,960.13",710
4/8/2023,4/8/2023,Nonexempt,"20,751.75",710
10/7/2023,10/7/2023,Nonexempt,19.7,710
4/2/2018,7/15/2023,Nonexempt,"41,503.50",710
1/2/2002,6/23/2003,Nonexempt,"66,788.26",710
12/17/2001,5/2/2019,Exempt,"78,055.07",710
7/21/2014,2/25/2023,Nonexempt,"41,503.50",710
2/29/2020,1/2/2024,Nonexempt,"20,483.89",710
4/1/2009,4/1/2009,Nonexempt,"49,380.70",710
4/6/2024,4/6/2024,Nonexempt,19.7,710
3/25/2023,3/25/2023,Nonexempt,"41,503.50",710
9/21/2024,9/21/2024,Nonexempt,"42,553.00",710
5/1/1974,5/15/1996,Exempt,"97,088.00",710
4/22/2023,4/22/2023,Nonexempt,"41,503.50",710
5/21/1984,5/15/1996,Nonexempt,"48,924.77",710
3/23/2024,3/25/2024,Nonexempt,19.7,710
8/24/2024,8/24/2024,Nonexempt,"20,477.60",710
8/28/2002,7/19/2021,Nonexempt,"53,874.20",710
9/8/2016,9/8/2016,Exempt,"50,894.53",710
12/5/2022,12/5/2022,Nonexempt,"20,751.75",710
7/21/1995,11/26/2018,Nonexempt,"61,323.57",710
3/19/2018,10/23/2021,Nonexempt,"40,960.13",710
1/21/1974,5/15/1996,Nonexempt,"68,023.91",710
7/29/2023,7/29/2023,Nonexempt,"20,479.81",710
10/7/2023,10/7/2023,Nonexempt,"20,483.89",710
8/21/2001,11/10/2014,Nonexempt,"40,960.13",710
4/22/2023,4/22/2023,Nonexempt,"20,480.06",710
3/4/2019,11/21/2020,Nonexempt,"40,960.13",710
10/19/1998,5/22/2023,Exempt,"49,637.31",710
10/5/2010,12/2/2023,Nonexempt,"42,582.89",710
9/12/2022,9/12/2022,Nonexempt,"20,480.06",710
6/14/2007,9/30/2019,Exempt,"57,331.48",710
3/12/2001,4/16/2018,Exempt,"121,572.14",710
10/8/2022,12/17/2022,Exempt,"59,393.48",710
8/10/2024,8/10/2024,Exempt,"46,589.00",710
8/24/2024,8/24/2024,Nonexempt,19.69,710
6/27/2016,2/26/2024,Nonexempt,"40,960.12",710
6/21/2017,7/17/2023,Nonexempt,"40,960.12",710
6/15/2024,6/15/2024,Nonexempt,"41,774.67",710
2/10/2024,7/13/2024,Exempt,"54,601.00",710
7/6/2019,11/18/2023,Nonexempt,19.7,710
11/3/1986,11/26/2018,Exempt,"128,432.03",710
2/25/2023,2/25/2023,Nonexempt,"41,503.50",710
12/10/1984,5/15/1996,Nonexempt,"46,567.98",710
8/30/2021,8/30/2021,Nonexempt,"41,503.50",710
11/18/2023,11/18/2023,Exempt,"46,588.80",710
10/1/2002,10/15/2004,Exempt,"69,502.41",710
4/20/2024,4/20/2024,Nonexempt,"20,752.99",710
11/4/2023,11/4/2023,Nonexempt,"41,503.50",710
9/24/2022,9/24/2022,Nonexempt,"20,480.06",710
10/8/2007,10/8/2007,Exempt,"54,887.00",710
6/5/2023,3/23/2024,Nonexempt,"41,503.50",710
8/10/2024,8/10/2024,Nonexempt,19.69,710
8/26/1996,1/23/2015,Nonexempt,"40,960.13",710
12/11/2017,1/2/2024,Nonexempt,"45,057.00",710
12/17/2022,12/17/2022,Nonexempt,"20,887.34",710
9/9/2023,9/9/2023,Nonexempt,"43,470.00",710
9/12/2022,9/12/2022,Nonexempt,"40,960.13",710
1/17/2023,8/10/2024,Exempt,"64,296.27",710
1/11/1982,10/8/2005,Exempt,"73,021.28",710
5/8/2017,2/28/2022,Exempt,"56,206.54",710
3/6/2017,1/21/2020,Exempt,"64,882.42",710
9/23/2023,3/9/2024,Exempt,"60,061.57",710
10/7/2023,10/7/2023,Nonexempt,19.7,710
8/29/2005,3/12/2008,Nonexempt,"44,919.55",710
8/29/2022,1/27/2024,Nonexempt,"43,578.67",710
3/25/2023,3/25/2023,Nonexempt,"44,774.10",710
10/8/2022,10/8/2022,Nonexempt,"20,480.06",710
9/14/2019,3/16/2020,Nonexempt,"41,503.50",710
12/4/2021,8/10/2024,Nonexempt,"45,159.00",710
6/25/2001,10/9/2021,Exempt,"76,452.65",710
9/7/2024,9/7/2024,Exempt,"59,393.00",710
11/18/2023,11/18/2023,Nonexempt,"41,774.67",710
8/27/1996,1/8/2008,Nonexempt,"40,960.13",710
12/4/1995,10/14/2013,Exempt,"175,950.00",710
10/21/2023,10/21/2023,Nonexempt,19.7,710
1/22/2019,9/10/2022,Nonexempt,"20,480.06",710
12/13/2002,7/23/2008,Nonexempt,"40,960.13",710
11/5/2022,12/2/2023,Nonexempt,"43,008.39",710
11/13/2018,7/5/2022,Nonexempt,"41,774.67",710
3/9/2024,9/21/2024,Nonexempt,"40,967.78",710
11/22/2021,12/17/2022,Exempt,"46,588.97",710
6/26/2012,1/6/2020,Nonexempt,"41,503.50",710
6/19/2021,6/19/2021,Exempt,"61,140.15",710
8/24/2024,8/24/2024,Nonexempt,"41,503.00",710
9/5/2016,4/20/2024,Nonexempt,"43,578.67",710
1/23/2007,10/7/2023,Nonexempt,"20,483.89",710
12/3/2022,3/25/2023,Exempt,"52,166.17",710
10/7/2023,5/18/2024,Nonexempt,"20,483.89",710
4/2/2018,7/17/2021,Nonexempt,"40,960.13",710
3/24/2010,9/21/2024,Exempt,"66,031.00",710
10/26/2019,3/27/2023,Exempt,"46,588.97",710
9/20/2012,3/27/2017,Nonexempt,"40,960.13",710
6/20/2023,9/9/2023,Nonexempt,"46,588.80",710
8/27/2022,4/8/2023,Nonexempt,"40,960.13",710
4/22/2023,4/22/2023,Exempt,"59,393.48",710
4/8/2004,8/25/2014,Exempt,"103,354.96",710
7/19/1999,7/17/2021,Nonexempt,"40,960.13",710
6/9/2007,2/20/2018,Nonexempt,"44,698.00",710
8/31/2015,10/8/2022,Exempt,"70,311.18",710
12/2/2023,1/16/2024,Nonexempt,"40,960.12",710
3/24/2014,8/14/2023,Exempt,"83,969.55",710
8/2/2021,8/2/2021,Exempt,"61,140.61",710
6/19/2020,6/19/2020,Nonexempt,"5,385.12",710
4/18/2011,1/1/2016,Exempt,"151,294.23",710
1/15/2014,9/7/2024,Nonexempt,"50,960.00",710
9/10/2012,9/10/2012,Nonexempt,18.47,710
5/11/2019,2/14/2022,Nonexempt,"40,687.92",710
4/28/2003,2/20/2018,Nonexempt,"58,694.55",710
6/1/2021,6/1/2021,Exempt,"99,902.34",710
9/23/2023,9/7/2024,Nonexempt,"45,760.00",710
1/1/2023,1/1/2023,Nonexempt,"5,385.12",710
7/6/2004,7/6/2004,Nonexempt,18.47,710
3/1/2016,3/1/2016,Nonexempt,"10,771.02",710
12/4/2000,10/3/2016,Exempt,"117,160.54",710
10/30/2017,11/20/2021,Nonexempt,"58,470.24",710
11/7/2022,11/7/2022,Nonexempt,"46,589.49",710
2/20/2018,11/4/2023,Exempt,"65,987.46",710
9/8/2015,12/6/2021,Exempt,"74,614.77",710
6/22/2012,7/6/2021,Exempt,"91,287.00",710
11/8/2016,9/25/2021,Exempt,"65,612.53",710
2/21/2017,9/23/2023,Exempt,"70,380.00",710
9/27/2021,8/27/2022,Nonexempt,"61,613.90",710
4/11/2020,4/11/2020,Nonexempt,"55,154.12",710
3/19/2018,2/1/2021,Nonexempt,"55,154.12",710
11/12/2019,9/28/2020,Exempt,"65,612.53",710
3/4/2019,2/18/2020,Exempt,"65,612.53",710
3/13/2021,3/13/2021,Exempt,"65,612.53",710
8/17/2022,3/9/2024,Nonexempt,"53,577.31",710
7/29/2024,7/29/2024,Nonexempt,"46,589.00",710
11/14/1994,10/23/2023,Exempt,"115,262.78",710
8/24/2024,8/24/2024,Nonexempt,"46,589.00",710
7/18/2022,7/18/2022,Exempt,"55,152.58",710
5/23/2022,5/23/2022,Exempt,"55,152.58",710
12/3/2013,2/12/2024,Nonexempt,"54,601.43",710
3/9/2024,3/9/2024,Exempt,"51,750.00",710
1/8/2016,9/21/2024,Exempt,"80,000.00",710
1/17/2023,5/18/2024,Exempt,"65,612.53",710
7/17/2021,10/10/2022,Exempt,"91,287.00",710
8/15/2022,8/15/2022,Exempt,"62,847.00",710
12/8/2015,12/8/2015,Nonexempt,"58,529.25",710
7/17/2006,8/12/2024,Exempt,"90,698.00",710
2/18/2020,2/10/2024,Nonexempt,"50,624.05",710
12/3/2022,12/3/2022,Nonexempt,"46,589.49",710
2/17/2004,10/8/2015,Exempt,"72,798.80",710
9/18/2006,7/6/2021,Exempt,"91,287.00",710
12/19/2020,9/7/2024,Exempt,"71,237.00",710
5/11/2015,9/11/2023,Nonexempt,"47,729.03",710
1/21/2020,12/6/2021,Exempt,"91,287.00",710
10/8/2022,10/8/2022,Nonexempt,"46,589.49",710
6/1/2024,6/1/2024,Nonexempt,"46,588.80",710
2/2/2022,2/2/2022,Exempt,"65,612.53",710
1/17/2022,9/12/2022,Exempt,"47,958.76",710
9/23/2023,9/23/2023,Nonexempt,"46,588.80",710
10/23/2023,11/6/2023,Exempt,"52,844.00",710
7/29/2023,7/29/2023,Nonexempt,"46,588.80",710
8/1/2006,8/1/2006,Nonexempt,"61,307.19",710
9/8/2015,11/4/2023,Exempt,"70,380.00",710
4/23/2015,4/1/2019,Nonexempt,"48,918.24",710
6/6/2022,6/6/2022,Nonexempt,"42,986.71",710
8/1/2006,10/21/2023,Exempt,"173,362.50",710
12/20/2021,8/24/2024,Nonexempt,"46,589.00",710
10/26/2019,10/26/2019,Exempt,"65,612.53",710
11/7/2011,8/12/2024,Exempt,"82,745.00",710
7/1/1993,7/8/2016,Exempt,"75,967.97",710
6/4/2018,8/12/2024,Exempt,"75,454.38",710
10/16/2017,1/30/2023,Nonexempt,"53,577.31",710
10/26/2019,10/8/2022,Exempt,"65,205.00",710
8/13/2012,9/12/2022,Nonexempt,"47,258.10",710
8/17/2022,8/17/2022,Nonexempt,"41,231.30",710
12/16/2023,8/10/2024,Nonexempt,"41,775.00",710
1/18/2022,1/18/2022,Nonexempt,"47,958.80",710
4/23/1994,10/21/2023,Exempt,"148,005.00",710
3/14/2020,3/14/2020,Nonexempt,"41,503.50",710
8/21/2006,4/9/2022,Nonexempt,"66,292.96",710
8/4/2008,2/2/2019,Exempt,"108,403.31",710
8/17/2015,3/23/2024,Nonexempt,"62,791.64",710
12/7/2019,1/18/2022,Exempt,"65,581.48",710
8/29/2020,7/17/2023,Exempt,"62,924.90",710
8/10/2024,8/10/2024,Nonexempt,"41,503.00",710
3/24/1999,9/14/2022,Exempt,"89,113.50",710
12/14/2015,10/30/2021,Nonexempt,16.3,710
9/23/2023,9/23/2023,Nonexempt,"47,104.14",710
7/28/1989,7/24/2006,Nonexempt,"55,356.42",710
1/29/2003,1/3/2022,Nonexempt,17.66,710
4/21/2008,1/3/2022,Nonexempt,16.3,710
2/23/2015,1/3/2022,Nonexempt,17.66,710
3/28/2022,3/28/2022,Nonexempt,"49,066.76",710
10/30/2021,10/30/2021,Nonexempt,16.3,710
1/7/2019,7/15/2023,Exempt,"59,393.48",710
2/23/2015,10/30/2021,Nonexempt,16.3,710
10/18/2002,10/18/2002,Nonexempt,17.66,710
9/12/2022,9/12/2022,Nonexempt,"47,103.55",710
11/13/2018,8/12/2023,Nonexempt,"47,104.14",710
8/21/2017,12/4/2017,Exempt,"65,205.00",710
11/5/2004,1/3/2022,Nonexempt,17.66,710
6/4/2007,6/4/2007,Nonexempt,19.56,710
9/13/2021,9/10/2022,Nonexempt,"47,103.53",710
2/14/2008,12/6/2021,Nonexempt,16.3,710
8/8/1996,8/16/1996,Nonexempt,"40,687.92",710
4/11/2022,4/11/2022,Exempt,"59,929.92",710
6/1/1994,5/15/1996,Exempt,"72,538.54",710
11/5/2007,11/8/2013,Exempt,"82,615.85",710
11/13/2017,11/13/2017,Nonexempt,"54,886.12",710
4/22/2023,4/22/2023,Exempt,"50,624.08",710
1/21/2020,11/20/2023,Nonexempt,"49,022.83",710
1/22/2007,11/27/2021,Nonexempt,16.3,710
10/8/2022,10/8/2022,Nonexempt,"46,730.25",710
12/30/2004,12/30/2004,Nonexempt,16.3,710
5/21/1997,3/9/2024,Nonexempt,"47,104.14",710
1/2/2007,3/25/2023,Exempt,"65,903.89",710
4/23/2015,9/25/2021,Nonexempt,"50,006.44",710
2/10/2024,2/10/2024,Nonexempt,"47,104.14",710
8/28/2017,11/20/2023,Nonexempt,"49,022.83",710
7/1/2024,7/1/2024,Nonexempt,"60,668.25",710
6/26/2006,5/7/2022,Exempt,"102,697.88",710
8/10/2015,9/18/2017,Exempt,"69,957.72",710
1/16/2024,1/16/2024,Nonexempt,"47,104.14",710
6/8/2019,8/1/2022,Exempt,"54,601.58",710
6/1/2024,6/1/2024,Nonexempt,"47,104.14",710
3/23/2024,3/23/2024,Nonexempt,"47,104.14",710
6/7/1993,2/2/2004,Exempt,"80,446.92",710
11/26/2018,11/26/2018,Nonexempt,16.3,710
8/26/2023,8/26/2023,Nonexempt,"40,687.92",710
4/10/2006,9/8/2015,Exempt,"103,318.46",710
1/6/2012,2/18/2020,Nonexempt,"47,324.85",710
7/1/2023,7/1/2023,Nonexempt,"45,158.08",710
6/1/2004,8/31/2011,Exempt,"101,468.97",710
10/21/2023,10/21/2023,Nonexempt,19.56,710
9/23/2015,3/19/2018,Nonexempt,"41,231.30",710
5/10/2022,5/10/2022,Nonexempt,"40,687.92",710
6/1/2004,6/1/2004,Exempt,"78,528.56",710
8/24/2007,4/20/2024,Exempt,"82,389.64",710
6/8/2019,6/8/2019,Exempt,"61,127.51",710
11/10/2014,11/10/2014,Nonexempt,"53,203.59",710
7/5/2022,7/5/2022,Nonexempt,16.3,710
7/1/2014,3/31/2024,Exempt,"173,362.50",710
10/29/2007,11/22/2022,Exempt,"86,940.00",710
9/8/1998,10/30/2021,Nonexempt,16.3,710
11/3/2014,11/3/2014,Exempt,"64,870.09",710
1/23/1997,3/19/2008,Nonexempt,16.3,710
9/6/2007,11/27/2021,Nonexempt,16.3,710
7/5/2022,7/5/2022,Nonexempt,16.3,710
3/28/2022,3/28/2022,Exempt,"53,631.11",710
4/6/2024,4/6/2024,Nonexempt,"53,942.20",710
6/5/2021,6/5/2021,Nonexempt,"58,055.80",710
12/2/2023,12/2/2023,Nonexempt,"55,264.33",710
1/18/2022,1/18/2022,Nonexempt,"56,639.48",710
8/18/2018,11/5/2022,Nonexempt,"56,639.48",710
11/12/2019,11/12/2019,Nonexempt,24.53,710
7/8/2008,7/8/2008,Nonexempt,"78,042.19",710
9/26/2003,9/26/2003,Nonexempt,"83,992.99",710
3/9/2024,3/9/2024,Nonexempt,"53,942.20",710
9/23/2004,9/23/2004,Nonexempt,"83,992.99",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
11/13/2001,10/23/2006,Nonexempt,"46,943.46",710
8/18/1997,8/19/2023,Exempt,"117,709.31",710
7/7/2008,10/24/2020,Nonexempt,"83,129.76",710
8/15/1988,11/21/2020,Exempt,"133,019.30",710
12/3/2022,12/3/2022,Nonexempt,33.1,710
10/12/2019,10/12/2019,Nonexempt,"58,055.80",710
10/2/2000,10/2/2000,Nonexempt,"88,192.69",710
8/8/2005,8/8/2005,Nonexempt,"81,944.08",710
8/20/2018,8/20/2018,Nonexempt,24.53,710
3/26/2004,3/26/2004,Nonexempt,"83,992.99",710
8/28/2000,8/28/2000,Nonexempt,"88,192.69",710
7/7/2014,7/7/2014,Nonexempt,"67,375.55",710
11/13/2000,11/13/2000,Nonexempt,30.99,710
10/5/2024,10/5/2024,Nonexempt,19.55,710
7/20/2015,7/20/2015,Nonexempt,"67,375.55",710
6/21/2017,3/23/2024,Nonexempt,"45,554.49",710
7/13/2024,7/13/2024,Nonexempt,"44,785.00",710
3/2/2019,8/2/2021,Nonexempt,"58,055.80",710
9/14/2019,9/14/2019,Nonexempt,24.53,710
1/1/1994,1/17/2023,Nonexempt,33.95,710
10/5/2024,10/5/2024,Nonexempt,19.55,710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
3/14/2003,3/14/2003,Nonexempt,"83,992.99",710
8/5/1996,9/17/2007,Nonexempt,"103,632.94",710
12/13/1996,8/8/2005,Nonexempt,"81,944.08",710
3/25/2013,10/24/2020,Nonexempt,"75,356.22",710
2/7/2000,2/7/2000,Nonexempt,"88,192.69",710
2/6/2012,4/15/2023,Exempt,"92,517.80",710
2/6/1989,5/15/1996,Nonexempt,"90,397.51",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
3/8/2000,3/8/2000,Nonexempt,"88,192.69",710
8/8/2005,8/8/2005,Nonexempt,"81,944.08",710
2/6/2012,10/5/2024,Nonexempt,"77,240.54",710
6/5/2021,1/28/2023,Nonexempt,"58,055.80",710
5/4/2024,5/4/2024,Nonexempt,33.13,710
2/9/2009,2/9/2009,Nonexempt,"78,042.19",710
3/25/2013,3/25/2013,Nonexempt,"70,744.49",710
7/20/2015,7/20/2015,Nonexempt,"67,375.55",710
1/4/2021,1/4/2021,Nonexempt,"58,055.80",710
5/15/2017,5/15/2017,Nonexempt,"61,082.57",710
8/19/2013,8/19/2013,Nonexempt,"50,562.13",710
11/5/2022,11/5/2022,Nonexempt,"55,264.33",710
4/11/2022,4/11/2022,Nonexempt,"56,639.48",710
2/28/2022,5/6/2023,Nonexempt,"43,882.80",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
1/11/2016,1/11/2016,Nonexempt,"65,731.94",710
12/11/2017,12/11/2017,Nonexempt,"61,082.57",710
8/29/2020,8/14/2023,Nonexempt,"41,774.67",710
8/10/2024,8/10/2024,Nonexempt,"46,396.00",710
7/15/2023,7/15/2023,Nonexempt,"55,264.33",710
10/31/2002,10/31/2002,Nonexempt,31.61,710
2/6/2012,1/16/2021,Nonexempt,"83,129.76",710
12/21/2020,12/21/2020,Nonexempt,"58,055.80",710
9/26/2003,8/19/2023,Exempt,"117,709.31",710
6/24/1999,5/4/2024,Nonexempt,"56,481.24",710
2/11/2023,2/11/2023,Nonexempt,"55,264.33",710
4/16/2007,4/16/2007,Nonexempt,"81,944.08",710
11/3/2004,11/3/2004,Nonexempt,27.55,710
5/29/2013,1/26/2015,Nonexempt,"67,375.55",710
4/13/2019,4/13/2019,Nonexempt,"58,055.80",710
10/2/2000,4/15/2008,Nonexempt,"103,632.94",710
7/7/2014,7/7/2014,Nonexempt,"67,375.55",710
8/10/2024,8/10/2024,Nonexempt,"46,396.00",710
8/3/2019,8/3/2019,Nonexempt,"58,055.80",710
9/23/2004,7/18/2020,Nonexempt,"93,941.96",710
8/28/1989,5/15/1996,Nonexempt,"90,397.51",710
3/21/2003,8/3/2019,Nonexempt,"96,289.81",710
2/6/1989,5/15/1996,Nonexempt,"90,397.51",710
12/21/2020,12/21/2020,Nonexempt,"58,055.80",710
5/15/2006,1/26/2024,Exempt,"109,369.24",710
10/12/2000,10/12/2000,Nonexempt,"88,192.69",710
11/8/2008,7/9/2012,Nonexempt,"72,513.50",710
1/2/2008,1/2/2008,Nonexempt,27.55,710
4/22/2023,4/22/2023,Nonexempt,"55,264.33",710
10/9/2000,10/9/2000,Nonexempt,"88,192.69",710
6/18/2018,6/18/2018,Nonexempt,"58,055.80",710
1/18/2022,1/18/2022,Nonexempt,"56,639.48",710
11/18/2023,7/27/2024,Nonexempt,"46,396.37",710
3/4/2013,3/4/2013,Nonexempt,"70,744.49",710
1/26/2015,1/26/2015,Nonexempt,"67,375.55",710
8/8/2005,8/3/2019,Nonexempt,"87,285.80",710
9/29/2008,9/29/2008,Nonexempt,"78,042.19",710
7/20/2015,7/20/2015,Nonexempt,"67,375.55",710
10/2/2000,10/2/2000,Nonexempt,"101,105.30",710
4/8/2009,7/9/2012,Nonexempt,"72,513.50",710
12/2/2023,12/2/2023,Nonexempt,"55,264.33",710
3/25/2013,3/16/2024,Nonexempt,"75,356.22",710
9/3/2002,9/3/2002,Nonexempt,"83,992.99",710
11/8/2007,6/4/2022,Nonexempt,"87,285.80",710
10/24/1988,10/16/2017,Nonexempt,"63,857.07",710
1/4/2010,1/4/2010,Nonexempt,"76,138.83",710
5/11/2020,5/11/2020,Nonexempt,"58,055.80",710
3/26/2004,3/26/2004,Nonexempt,"83,992.99",710
1/7/2019,1/4/2021,Nonexempt,"58,055.80",710
10/2/2006,10/2/2006,Nonexempt,"81,944.08",710
4/11/2022,10/21/2023,Nonexempt,"55,264.33",710
5/26/2018,8/2/2021,Nonexempt,"58,055.80",710
7/13/2024,7/13/2024,Nonexempt,"41,775.00",710
10/10/2020,10/10/2020,Nonexempt,"49,950.90",710
3/28/2005,3/28/2005,Nonexempt,"83,992.99",710
7/9/2012,7/9/2012,Nonexempt,"72,513.50",710
9/12/2011,9/12/2011,Nonexempt,24.59,710
7/8/2003,3/28/2005,Nonexempt,"83,992.99",710
9/30/2013,9/30/2013,Nonexempt,"70,744.49",710
2/16/2021,2/16/2021,Nonexempt,"41,503.50",710
5/6/1996,1/17/2017,Exempt,"147,445.07",710
9/20/2010,10/5/2024,Exempt,"92,517.80",710
6/5/2021,6/5/2021,Nonexempt,"58,055.80",710
10/10/2022,10/10/2022,Nonexempt,"70,744.49",710
3/24/2008,3/24/2008,Nonexempt,"78,042.19",710
6/27/2016,6/27/2016,Nonexempt,"65,731.94",710
3/24/2008,8/19/2023,Exempt,"99,572.54",710
5/6/1996,9/17/2007,Nonexempt,"103,632.94",710
9/23/2004,5/2/2012,Nonexempt,"101,105.30",710
9/23/2004,9/23/2004,Nonexempt,"83,992.99",710
8/25/2003,9/19/2006,Nonexempt,"48,087.04",710
7/10/2006,7/10/2006,Nonexempt,"41,503.50",710
2/24/2024,2/24/2024,Exempt,"64,296.27",710
9/7/2024,9/7/2024,Exempt,"64,296.00",710
3/26/2004,2/24/2024,Exempt,"64,296.27",710
10/28/1996,1/19/1999,Nonexempt,"88,192.69",710
4/23/2002,6/23/2016,Nonexempt,"93,941.96",710
7/23/2011,3/16/2024,Nonexempt,"71,775.52",710
3/28/2005,3/28/2005,Nonexempt,"83,992.99",710
8/10/2024,8/10/2024,Nonexempt,"46,396.00",710
10/8/2022,10/8/2022,Nonexempt,"56,639.48",710
9/26/2003,9/26/2003,Nonexempt,"83,992.99",710
4/11/2022,4/11/2022,Nonexempt,"56,639.48",710
8/19/1996,2/10/1997,Nonexempt,"88,192.69",710
1/28/2023,1/28/2023,Nonexempt,"58,055.80",710
11/7/2005,11/7/2005,Nonexempt,"81,944.08",710
6/17/2009,7/7/2014,Nonexempt,"67,375.55",710
7/6/2009,6/20/2023,Nonexempt,"76,138.83",710
5/11/2020,5/11/2020,Nonexempt,"58,055.80",710
4/6/2024,4/6/2024,Nonexempt,"53,942.20",710
2/19/2002,2/19/2002,Nonexempt,"88,192.69",710
1/7/2019,8/15/2022,Nonexempt,"56,639.48",710
2/25/2023,2/25/2023,Nonexempt,"55,264.33",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
3/26/2004,3/26/2004,Nonexempt,"83,992.99",710
1/23/2017,1/23/2017,Nonexempt,"61,082.57",710
10/12/2019,10/12/2019,Nonexempt,"58,055.80",710
1/7/2019,1/7/2019,Nonexempt,"58,055.80",710
3/24/2008,3/24/2008,Nonexempt,"78,042.19",710
8/15/2022,8/15/2022,Nonexempt,"56,639.48",710
12/30/2023,12/30/2023,Nonexempt,33.13,710
10/2/2006,3/7/2020,Nonexempt,"93,941.96",710
6/9/1986,6/4/2022,Exempt,"133,019.30",710
5/6/2023,5/6/2023,Nonexempt,33.1,710
10/28/1996,4/8/2023,Nonexempt,33.1,710
8/17/2009,3/16/2024,Nonexempt,"81,102.12",710
3/24/2008,3/24/2008,Nonexempt,"78,042.19",710
8/15/2022,8/15/2022,Nonexempt,"56,639.48",710
1/4/2021,1/4/2021,Nonexempt,"58,055.80",710
6/15/2024,6/15/2024,Nonexempt,"40,960.12",710
4/13/2019,4/13/2019,Nonexempt,"58,055.80",710
7/13/2024,7/13/2024,Nonexempt,"46,396.37",710
3/13/2023,5/20/2023,Nonexempt,"55,264.33",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
5/11/2020,5/11/2020,Nonexempt,"58,055.80",710
9/23/2004,1/17/2017,Nonexempt,"89,467.94",710
3/11/2023,3/11/2023,Nonexempt,"56,639.48",710
8/8/2005,8/8/2005,Nonexempt,"81,944.08",710
3/9/2024,3/9/2024,Nonexempt,"46,396.37",710
2/21/2002,2/21/2002,Nonexempt,"88,192.69",710
5/18/2024,5/18/2024,Nonexempt,"46,396.37",710
2/13/2006,1/16/2021,Nonexempt,"87,285.80",710
5/21/2018,5/21/2018,Nonexempt,"58,055.80",710
1/18/2011,4/15/2023,Nonexempt,"81,102.12",710
1/19/2021,1/19/2021,Nonexempt,"58,055.80",710
1/7/2019,1/7/2019,Nonexempt,"58,055.80",710
12/19/2001,9/8/2014,Exempt,"81,830.10",710
11/27/2017,11/27/2017,Nonexempt,"61,082.57",710
4/16/2007,3/16/2024,Exempt,"99,572.54",710
3/11/2023,3/11/2023,Nonexempt,"55,264.33",710
10/12/2019,10/12/2019,Nonexempt,"58,055.80",710
1/11/2016,1/11/2016,Nonexempt,"65,731.94",710
10/20/1984,5/15/1996,Exempt,"84,416.51",710
6/20/2023,6/20/2023,Nonexempt,"56,639.48",710
9/11/2006,9/5/2020,Nonexempt,22.85,710
11/26/2012,4/2/2022,Nonexempt,"72,513.50",710
1/4/2010,2/5/2011,Nonexempt,"76,138.83",710
6/5/2021,6/5/2021,Nonexempt,"58,055.80",710
1/11/2016,1/11/2016,Nonexempt,"65,731.94",710
2/8/1978,5/15/1996,Nonexempt,"56,537.60",710
1/8/2001,6/6/2022,Exempt,"73,464.35",710
9/3/2002,3/6/2003,Nonexempt,"83,992.99",710
3/26/2004,3/26/2004,Nonexempt,"83,992.99",710
8/15/2022,8/15/2022,Nonexempt,"56,639.48",710
1/20/2009,7/15/2024,Nonexempt,"76,138.83",710
4/17/2017,4/17/2017,Nonexempt,"61,082.57",710
6/15/2024,6/15/2024,Nonexempt,"41,400.00",710
10/11/2000,10/11/2000,Nonexempt,"88,192.69",710
4/11/2022,4/11/2022,Nonexempt,"56,639.48",710
1/16/2019,6/21/2022,Nonexempt,"58,055.80",710
10/15/2018,3/28/2020,Nonexempt,"41,503.50",710
