OBJECTID,STATE,COUNTY,TRACT,blkgrp_med,blkgrp_m_1,avg_hh_s_1,commuters_,commuter_1,pct_renter,pct_detatc,hh_type1_s,hh_type1_w,hh_type1_ht,hh_type1_h,hh_type1_t
206666,51,710,980100,0,0,0,0,0,0,0,0,0,0,0,0
206667,51,710,3100,54676.08342,29156.26179,2.7,1.47638,1.24579,0.55165,81.66352,4,2,47.61083,28.38141,19.22942
206668,51,710,4500,79258.07749,16258.78311,2.22,1.47899,0.82192,0.29026,79.63964,4,2,53.37291,33.21444,20.15848
206670,51,710,5000,51406.11589,15699.35397,1.91,1.35503,0.59563,0.88916,9.1133,4,2,39.59654,23.32908,16.26746
206671,51,710,1100,25487.61102,36647.42331,1.86,0.68116,1.07844,0.90104,9.89492,4,2,39.72557,23.71765,16.00792
206817,51,710,5602,64614.97927,41436.03814,2.23,1.85117,1.61055,0.56888,52.00893,4,2,44.81502,25.7087,19.10632
206818,51,710,3800,63795.72868,28757.89791,1.53,1.31704,1.09094,0.61068,33.281,4,2,44.19299,26.82615,17.36684
206819,51,710,500,46858.73246,23291.11781,1.62,1.18882,0.97866,0.632,51.10497,4,2,40.99479,22.33972,18.65507
207016,51,710,300,65614.93441,29488.12138,1.81,1.59032,1.29827,0.69585,29.74052,4,2,43.80307,25.03966,18.76341
207017,51,710,980300,0,0,0,0,0,0,0,0,0,0,0,0
207018,51,710,6901,66936.20072,52382.05141,2.76,1.18696,1.72081,0.55236,49.12837,4,2,48.08125,28.71696,19.36428
207019,51,710,5901,32966.58587,24621.39764,4.66,1.37181,1.511,0.70203,7.67635,4,2,46.01091,28.62995,17.38095
207020,51,710,6607,52432.61388,17168.80345,1.17,1.39505,0.69215,0.24528,97.05882,4,2,50.63606,29.00403,21.63203
207167,51,710,800,68637.32322,42883,2.31,1.40135,1.54522,1,3.95062,4,2,38.97448,22.76829,16.20619
207168,51,710,3600,87576.619,28076.11924,1.39,1.28661,0.81827,0.68305,7.37101,4,2,41.29842,25.37298,15.92544
