Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,SUMMARY,Unnamed: 6,Unnamed: 7,Unnamed: 8
Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Residential Real Estate Value Score,Affordable Housing Score,Personal Income Score
51710001100,Norfolk city,Virginia,2023,36,,11,74
51740210200,Portsmouth city,Virginia,2017,28,1,57,24
51740210200,Portsmouth city,Virginia,2018,32,1,70,34
51740210200,Portsmouth city,Virginia,2019,48,1,77,41
51740210200,Portsmouth city,Virginia,2020,42,27,72,32
51740210200,Portsmouth city,Virginia,2021,54,,80,26
51740210200,Portsmouth city,Virginia,2022,40,,20,26
51740210200,Portsmouth city,Virginia,2023,44,,12,39
51710006800,Norfolk city,Virginia,2017,42,28,17,71
51710006800,Norfolk city,Virginia,2018,45,26,23,69
51710006800,Norfolk city,Virginia,2019,42,29,31,57
51710006800,Norfolk city,Virginia,2020,48,45,37,55
51710006800,Norfolk city,Virginia,2021,44,47,25,57
51710006800,Norfolk city,Virginia,2022,46,18,14,50
51710006800,Norfolk city,Virginia,2023,44,20,17,40
51710002500,Norfolk city,Virginia,2017,32,8,30,5
51710002500,Norfolk city,Virginia,2018,36,15,28,2
51710002500,Norfolk city,Virginia,2019,31,15,25,2
51710002500,Norfolk city,Virginia,2020,30,34,27,13
51710002500,Norfolk city,Virginia,2021,36,39,23,43
51710002500,Norfolk city,Virginia,2022,40,39,31,59
51710002500,Norfolk city,Virginia,2023,34,20,20,50
51710007001,Norfolk city,Virginia,2017,40,,1,54
51710007001,Norfolk city,Virginia,2018,41,,2,53
51710007001,Norfolk city,Virginia,2019,48,,2,56
51710007001,Norfolk city,Virginia,2020,55,,3,51
51710007001,Norfolk city,Virginia,2021,55,,4,28
51710007001,Norfolk city,Virginia,2022,52,,19,13
51710007001,Norfolk city,Virginia,2023,51,,23,15
51740211400,Portsmouth city,Virginia,2017,29,9,11,8
51740211400,Portsmouth city,Virginia,2018,30,11,14,8
51740211400,Portsmouth city,Virginia,2019,32,38,23,8
51740211400,Portsmouth city,Virginia,2020,34,27,42,8
51740211400,Portsmouth city,Virginia,2021,28,28,61,9
51740211400,Portsmouth city,Virginia,2022,30,35,68,52
51740211400,Portsmouth city,Virginia,2023,32,40,28,65
51740212100,Portsmouth city,Virginia,2017,32,2,92,6
51740212100,Portsmouth city,Virginia,2018,33,3,94,6
51740212100,Portsmouth city,Virginia,2019,40,3,94,5
51740212100,Portsmouth city,Virginia,2020,35,5,92,6
51740212100,Portsmouth city,Virginia,2021,36,,92,8
51740212100,Portsmouth city,Virginia,2022,32,40,87,12
51740212100,Portsmouth city,Virginia,2023,42,47,75,7
51710004100,Norfolk city,Virginia,2017,28,,100,1
51710004100,Norfolk city,Virginia,2018,33,,100,1
51710004100,Norfolk city,Virginia,2019,36,,100,3
51710004100,Norfolk city,Virginia,2020,36,,100,10
51710004100,Norfolk city,Virginia,2021,34,,100,23
51710004100,Norfolk city,Virginia,2022,34,,100,54
51710004100,Norfolk city,Virginia,2023,26,,100,65
51710005000,Norfolk city,Virginia,2017,34,19,27,4
